venue,first_core_year,last_core_year,years_present,years_list,levels_list,astar_years,a_years,ever_astar,active_article_years_required,first_article_year_required,last_article_year_required,required_core_years,required_levels,inferred_area,relevance_class,priority_score,priority_level,recommended_action,rationale,priority_sort,tier,tier_reason,tier_action,tier_sort
DCC,2008,2020,6,2008|2013|2014|2017|2018|2020,A*,6,0,True,13,2008,2020,2008|2013|2014|2017|2018|2020,A*,Visión / Imagen / Gráficos,high_seed,27.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,A* histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=high_seed; área=Visión / Imagen / Gráficos,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
IPSN,2008,2023,8,2008|2013|2014|2017|2018|2020|2021|2023,A*,8,0,True,18,2008,2025,2008|2013|2014|2017|2018|2020|2021|2023,A*,Sistemas empotrados / Tiempo real,likely_core_cs,26.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,A* histórico; 8 versiones CORE; 18 años-artículo requeridos; relevancia=likely_core_cs; área=Sistemas empotrados / Tiempo real,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
ISSAC,2008,2023,8,2008|2013|2014|2017|2018|2020|2021|2023,A|A*,6,2,True,18,2008,2025,2008|2013|2014|2017|2018|2020|2021|2023,A|A*,Teoría / Métodos formales / PL,likely_core_cs,26.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,A* histórico; 8 versiones CORE; 18 años-artículo requeridos; relevancia=likely_core_cs; área=Teoría / Métodos formales / PL,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
SENSYS,2008,2023,8,2008|2013|2014|2017|2018|2020|2021|2023,A*,8,0,True,18,2008,2025,2008|2013|2014|2017|2018|2020|2021|2023,A*,Sistemas empotrados / Tiempo real,likely_core_cs,26.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,A* histórico; 8 versiones CORE; 18 años-artículo requeridos; relevancia=likely_core_cs; área=Sistemas empotrados / Tiempo real,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
UbiComp,2008,2018,5,2008|2013|2014|2017|2018,A*,5,0,True,12,2008,2019,2008|2013|2014|2017|2018,A*,HCI / CSCW / Documentos,likely_core_cs,23.4,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,A* histórico; 5 versiones CORE; 12 años-artículo requeridos; relevancia=likely_core_cs; área=HCI / CSCW / Documentos,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
CONCUR,2008,2023,8,2008|2013|2014|2017|2018|2020|2021|2023,A,0,8,False,18,2008,2025,2008|2013|2014|2017|2018|2020|2021|2023,A,Teoría / Métodos formales / PL,high_seed,21.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 8 versiones CORE; 18 años-artículo requeridos; relevancia=high_seed; área=Teoría / Métodos formales / PL,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
EDBT,2008,2023,8,2008|2013|2014|2017|2018|2020|2021|2023,A,0,8,False,18,2008,2025,2008|2013|2014|2017|2018|2020|2021|2023,A,Bases de datos / Web / Conocimiento,high_seed,21.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 8 versiones CORE; 18 años-artículo requeridos; relevancia=high_seed; área=Bases de datos / Web / Conocimiento,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
FM,2008,2023,8,2008|2013|2014|2017|2018|2020|2021|2023,A,0,8,False,18,2008,2025,2008|2013|2014|2017|2018|2020|2021|2023,A,Teoría / Métodos formales / PL,high_seed,21.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 8 versiones CORE; 18 años-artículo requeridos; relevancia=high_seed; área=Teoría / Métodos formales / PL,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
ICLP,2008,2023,8,2008|2013|2014|2017|2018|2020|2021|2023,A,0,8,False,18,2008,2025,2008|2013|2014|2017|2018|2020|2021|2023,A,Teoría / Métodos formales / PL,high_seed,21.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 8 versiones CORE; 18 años-artículo requeridos; relevancia=high_seed; área=Teoría / Métodos formales / PL,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
CCGRID,2008,2021,7,2008|2013|2014|2017|2018|2020|2021,A,0,7,False,15,2008,2022,2008|2013|2014|2017|2018|2020|2021,A,Sistemas / HPC / Arquitectura,high_seed,21.0,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 7 versiones CORE; 15 años-artículo requeridos; relevancia=high_seed; área=Sistemas / HPC / Arquitectura,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
CLUSTER,2008,2021,7,2008|2013|2014|2017|2018|2020|2021,A,0,7,False,15,2008,2022,2008|2013|2014|2017|2018|2020|2021,A,Sistemas / HPC / Arquitectura,high_seed,21.0,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 7 versiones CORE; 15 años-artículo requeridos; relevancia=high_seed; área=Sistemas / HPC / Arquitectura,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
COLING,2008,2021,7,2008|2013|2014|2017|2018|2020|2021,A,0,7,False,15,2008,2022,2008|2013|2014|2017|2018|2020|2021,A,NLP,high_seed,21.0,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 7 versiones CORE; 15 años-artículo requeridos; relevancia=high_seed; área=NLP,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
CoNLL,2008,2021,7,2008|2013|2014|2017|2018|2020|2021,A,0,7,False,15,2008,2022,2008|2013|2014|2017|2018|2020|2021,A,NLP,high_seed,21.0,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 7 versiones CORE; 15 años-artículo requeridos; relevancia=high_seed; área=NLP,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
ECRTS,2008,2021,7,2008|2013|2014|2017|2018|2020|2021,A,0,7,False,15,2008,2022,2008|2013|2014|2017|2018|2020|2021,A,Sistemas empotrados / Tiempo real,high_seed,21.0,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 7 versiones CORE; 15 años-artículo requeridos; relevancia=high_seed; área=Sistemas empotrados / Tiempo real,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
ESWC,2008,2021,7,2008|2013|2014|2017|2018|2020|2021,A,0,7,False,15,2008,2022,2008|2013|2014|2017|2018|2020|2021,A,Bases de datos / Web / Conocimiento,high_seed,21.0,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 7 versiones CORE; 15 años-artículo requeridos; relevancia=high_seed; área=Bases de datos / Web / Conocimiento,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
PAKDD,2008,2021,7,2008|2013|2014|2017|2018|2020|2021,A,0,7,False,15,2008,2022,2008|2013|2014|2017|2018|2020|2021,A,Machine Learning / Data Mining,high_seed,21.0,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 7 versiones CORE; 15 años-artículo requeridos; relevancia=high_seed; área=Machine Learning / Data Mining,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
ATVA,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Teoría / Métodos formales / PL,high_seed,20.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=high_seed; área=Teoría / Métodos formales / PL,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
CASES,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sistemas empotrados / Tiempo real,high_seed,20.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=high_seed; área=Sistemas empotrados / Tiempo real,0,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
